ENGLISH-1,ENGLISH-2,ENG DESCRIPTION,MALAYALAM-1,MALAYALAM-2,ML DESCRIPTION
abandon,,,"കയ്യൊഴിയുക, കൈവിടുക",,
ability,,,കഴിവ്,,
able,,,കഴിവുറ്റ,,
abortion,,,പേറ്ററുത്/കരുവഴിക്കുക,,
about,,,കുറിച്ച്/പറ്റി,,
above,,,മുകളില്‍,,
abroad,,,വെളിനാട്,,
absence,,,ഇല്ലായ്മ/അരിപ്പം,,
absolute,,,,,
absorb,,,"ഉള്‍ക്കൊള്ളുക, വലിച്ചെടുക്കുക",,
abuse,,,"ഇകഴ്ത്തല്‍, കയര്‍പ്പ് , കയര്‍പ്പം",,
academic,,,കല്‍വിയ,,
accept,,,"എതിരേല്‍ക്കുക, കൈക്കൊള്ളുക",,
access,,,വഴി,,
accident,,,അകപ്പാട്,,
accompany,,,കൂട്ടുപോകുക,,
accomplish,,,നേടിയെടുക്കുക,,
according,,,"അതുപടി, തക്കതായ",,
accountant,,,കണക്കപ്പിള്ള/കണക്കാള്‍,,
accurate,,,ശരിയായ,,
acknowledge,,,"ഏല്‍ക്കുക, ഏറ്റുപറയുക",,
acquire,,,"നേടുക, കൈക്കലാക്കുക",,
across,,,കുറുകെ,,
act,,,പെരുമാറുക,,
acting,,,പകർന്നാട്ടം,,
action,,,പെരുമാറ്റം/ചെയ്തി,,
active,,,ചുണയുള്ള,,
activist,,,,,
activity,,,ചെയ്ത്ത്,,
actor,,,നടന്‍,,
actress,,,നടി,,
actual,,,ശരിക്കുള്ള,,
actually,,,ശരിക്ക്,,
ad,,,വിളമ്പരം,,
adapt,,,പൊരുത്തപ്പെടുക,,
add,,,കൂട്ടുക,,
addition,,,കൂട്ടല്‍,,
additional,,,കൂടുതലായ,,
address,,,മേല്‍ചീട്ട്,,
adequate,,,"മതിയായ, ഉരിയമായ",,
adjust,,,"ഇണക്കുക, ശരിപ്പെടുത്തുക",,
adjustment,,,ഒതുക്കം,,
administration,,,മേലായ്മ,,
administrator,,,മേലാള്‍,,
admire,,,പുകഴ്ത്തുക,,
admission,,,കയറ്റിവിടല്‍,,
admit,,,,,
adopt,,,ഏറ്റെടുക്കുക,,
advertising,,,വിളമ്പരം ചെയ്യല്‍,,
advice,,,,,
advise,,,,,
adviser,,,,,
advocate,,,വക്കീല്‍,,
